state,price,item,year
Johor,8.0,Ayam bersih 1kg,2022
Kedah,8.49,Ayam bersih 1kg,2022
Kelantan,7.895,Ayam bersih 1kg,2022
Melaka,8.49,Ayam bersih 1kg,2022
Negeri Sembilan,8.49,Ayam bersih 1kg,2022
Pahang,8.09,Ayam bersih 1kg,2022
Perak,8.5,Ayam bersih 1kg,2022
Perlis,8.0,Ayam bersih 1kg,2022
Pulau Pinang,9.4,Ayam bersih 1kg,2022
Sabah,11.3,Ayam bersih 1kg,2022
Sarawak,9.8,Ayam bersih 1kg,2022
Selangor,8.49,Ayam bersih 1kg,2022
Terengganu,8.2,Ayam bersih 1kg,2022
W.P. Kuala Lumpur,8.5,Ayam bersih 1kg,2022
W.P. Labuan,11.3,Ayam bersih 1kg,2022
W.P. Putrajaya,8.1,Ayam bersih 1kg,2022
Johor,13.5,Telur ayam Gred A (30 biji),2022
Kedah,13.5,Telur ayam Gred A (30 biji),2022
Kelantan,13.5,Telur ayam Gred A (30 biji),2022
Melaka,13.5,Telur ayam Gred A (30 biji),2022
Negeri Sembilan,13.5,Telur ayam Gred A (30 biji),2022
Pahang,13.5,Telur ayam Gred A (30 biji),2022
Perak,13.5,Telur ayam Gred A (30 biji),2022
Perlis,13.5,Telur ayam Gred A (30 biji),2022
Pulau Pinang,13.5,Telur ayam Gred A (30 biji),2022
Sabah,15.3,Telur ayam Gred A (30 biji),2022
Sarawak,14.1,Telur ayam Gred A (30 biji),2022
Selangor,13.5,Telur ayam Gred A (30 biji),2022
Terengganu,13.5,Telur ayam Gred A (30 biji),2022
W.P. Kuala Lumpur,13.5,Telur ayam Gred A (30 biji),2022
W.P. Putrajaya,13.5,Telur ayam Gred A (30 biji),2022
Johor,28.99,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Kedah,28.0,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Kelantan,30.9,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Melaka,28.99,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Negeri Sembilan,28.99,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Pahang,29.5,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Perak,28.99,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Perlis,28.0,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Pulau Pinang,28.9,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Selangor,30.0,"Beras Super Cap Rambutan 5% Import, 10kg",2022
Terengganu,29.99,"Beras Super Cap Rambutan 5% Import, 10kg",2022
W.P. Kuala Lumpur,29.9,"Beras Super Cap Rambutan 5% Import, 10kg",2022
W.P. Putrajaya,31.9,"Beras Super Cap Rambutan 5% Import, 10kg",2022
